0.4589;0.4589
brain.js:67 0.459;0.4589
brain.js:67 0.4591;0.4589
brain.js:67 0.4592;0.459
brain.js:67 0.4594;0.459
brain.js:67 0.4596;0.4591
brain.js:67 0.4598;0.4593
brain.js:67 0.46;0.4594
brain.js:67 0.4602;0.4596
brain.js:67 0.4608;0.4598
brain.js:67 0.4615;0.4601
brain.js:67 0.4618;0.4605
brain.js:67 0.4622;0.4609
brain.js:67 0.4627;0.4613
brain.js:67 0.4632;0.4617
brain.js:67 0.4641;0.4622
brain.js:67 0.4652;0.4628
brain.js:67 0.4659;0.4635
brain.js:67 0.4667;0.4643
brain.js:67 0.4681;0.465
brain.js:67 0.4696;0.4661
brain.js:67 0.4709;0.4672
brain.js:67 0.4728;0.4682
brain.js:67 0.475;0.4696
brain.js:67 0.4775;0.4712
brain.js:67 0.4803;0.4731
brain.js:67 0.4836;0.4753
brain.js:67 0.4883;0.4778
brain.js:67 0.4929;0.481
brain.js:67 0.4941;0.4846
brain.js:67 0.4987;0.4875
brain.js:67 0.5017;0.4909
brain.js:67 0.4992;0.4942
brain.js:67 0.4967;0.4958
brain.js:67 0.4934;0.4961
brain.js:67 0.4904;0.4953
brain.js:67 0.4883;0.4938
brain.js:67 0.4864;0.4921
brain.js:67 0.4839;0.4904
brain.js:67 0.4816;0.4884
brain.js:67 0.4801;0.4863
brain.js:67 0.4788;0.4844
brain.js:67 0.4776;0.4827
brain.js:67 0.4759;0.4812
brain.js:67 0.4744;0.4796
brain.js:67 0.4735;0.478
brain.js:67 0.4727;0.4766
brain.js:67 0.472;0.4755
brain.js:67 0.4714;0.4744
brain.js:67 0.4708;0.4735
brain.js:67 0.4703;0.4726
brain.js:67 0.4698;0.4719
brain.js:67 0.4695;0.4713
brain.js:67 0.4691;0.4707
brain.js:67 0.4689;0.4702
brain.js:67 0.4687;0.4698
brain.js:67 0.4686;0.4694
brain.js:67 0.4685;0.4691
2brain.js:67 0.4685;0.4689
brain.js:67 0.4686;0.4687
brain.js:67 0.4693;0.4687
brain.js:67 0.47;0.4688
brain.js:67 0.4703;0.4692
brain.js:67 0.4708;0.4695
brain.js:67 0.4718;0.4699
brain.js:67 0.473;0.4705
brain.js:67 0.4744;0.4712
brain.js:67 0.476;0.4722
brain.js:67 0.4779;0.4734
brain.js:67 0.4801;0.4747
brain.js:67 0.4827;0.4764
brain.js:67 0.4837;0.4783
brain.js:67 0.4863;0.4799
brain.js:67 0.4867;0.4818
brain.js:67 0.4838;0.4832
